protocol,kind,model,features,seed,n_train,n_test,fit_s,acc,macro_f1
leaky_random,multiclass,rf,plain,0,28224,12096,27.0,0.9747850529100528,0.9753196811523552
leaky_random,multiclass,rf,plain,1,28224,12096,25.4,0.9751157407407408,0.9757028688674926
leaky_random,multiclass,rf,plain,2,28224,12096,25.7,0.9755291005291006,0.9760996837809746
in_condition,multiclass,rf,plain,0,24192,11808,21.1,0.9646849593495936,0.9641085255266388
in_condition,multiclass,rf,plain,1,24192,11808,21.7,0.9651084010840107,0.964640876447798
in_condition,multiclass,rf,plain,2,24192,11808,21.1,0.9641768292682928,0.9637476540438356
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,0,36960,3360,33.3,0.9288690476190476,0.9298756008289224
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,1,36960,3360,33.1,0.930952380952381,0.9315707925653448
unknown_condition[speed_circulation_20Nm_1000rpm],multiclass,rf,plain,2,36960,3360,33.1,0.9282738095238096,0.9290486126593668
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,0,36960,3360,43.4,0.9482142857142856,0.9455050325706512
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,1,36960,3360,33.8,0.9452380952380952,0.9435406370848344
unknown_condition[speed_circulation_20Nm_2000rpm],multiclass,rf,plain,2,36960,3360,33.6,0.9479166666666666,0.946522021421386
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,0,36960,3360,32.5,0.9086309523809524,0.8730869698843181
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,1,36960,3360,36.9,0.9038690476190476,0.8676652676495541
unknown_condition[speed_circulation_20Nm_3000rpm],multiclass,rf,plain,2,36960,3360,33.4,0.9101190476190476,0.8743623121231474
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,0,36960,3360,33.1,0.9196428571428572,0.9142526010923806
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,1,36960,3360,32.8,0.9172619047619048,0.9126200080410988
unknown_condition[speed_circulation_40Nm_1000rpm],multiclass,rf,plain,2,36960,3360,33.1,0.9220238095238096,0.916255620191752
unknown_condition[speed_circulation_40Nm_2000rpm],multiclass,rf,plain,0,36960,3360,33.6,0.9455357142857144,0.9433845924732092
