machine,ftype,feature,median_sdr,share_detectable,min_detectable_pct,window_cycles
PMSG,TURNS,V2_V1,2.4954351168261506,0.7314814814814815,2.800000000000012,3
PMSG,TURNS,I2_I1,1.3844819888644215,0.5740740740740741,7.399999999999999,3
PMSG,TURNS,Id_2fe,0.5712780153907533,0.28703703703703703,11.599999999999994,3
PMSG,TURNS,PId_2fe,0.5652912473975716,0.2962962962962963,11.599999999999994,3
PMSG,TURNS,Vq_2fe,1.1741818565188276,0.5462962962962963,7.400000000000006,3
PMSG,WINDINGS,V2_V1,51.480161371808215,0.9166666666666666,2.3000000000000007,3
PMSG,WINDINGS,I2_I1,11.539384629235432,0.8333333333333334,9.7,3
PMSG,WINDINGS,Id_2fe,4.587059929281317,0.7129629629629629,10.6,3
PMSG,WINDINGS,PId_2fe,4.574755129942709,0.7129629629629629,10.6,3
PMSG,WINDINGS,Vq_2fe,19.760461526861466,0.8888888888888888,2.3000000000000007,3
SCIG,TURNS,V2_V1,3.1341978493445253,0.6944444444444444,7.399999999999999,3
SCIG,TURNS,I2_I1,3.9900774981084917,0.7037037037037037,7.399999999999999,3
SCIG,TURNS,Id_2fe,6.525173873384045,0.7777777777777778,2.799999999999997,3
SCIG,TURNS,PId_2fe,6.576795764424794,0.7777777777777778,2.799999999999997,3
SCIG,TURNS,Vq_2fe,2.41950415642983,0.6111111111111112,7.399999999999999,3
SCIG,WINDINGS,V2_V1,40.67333782543278,1.0,2.3000000000000007,3
SCIG,WINDINGS,I2_I1,49.51492485378276,0.9814814814814815,2.3000000000000007,3
SCIG,WINDINGS,Id_2fe,73.00796318749585,1.0,2.3000000000000007,3
SCIG,WINDINGS,PId_2fe,73.56765173271407,1.0,2.3000000000000007,3
SCIG,WINDINGS,Vq_2fe,22.98999416839955,0.8796296296296297,9.7,3
PMSG,TURNS,V2_V1,2.9895182500085298,0.7592592592592593,2.800000000000012,5
PMSG,TURNS,I2_I1,1.4713821086768424,0.5648148148148148,7.399999999999999,5
PMSG,TURNS,Id_2fe,0.5161297442386663,0.2962962962962963,11.599999999999994,5
PMSG,TURNS,PId_2fe,0.5178719379220738,0.3055555555555556,11.599999999999994,5
PMSG,TURNS,Vq_2fe,1.346006770117845,0.5740740740740741,7.400000000000006,5
PMSG,WINDINGS,V2_V1,61.897535214311716,0.9444444444444444,2.3000000000000007,5
PMSG,WINDINGS,I2_I1,11.316156734412056,0.8148148148148148,9.7,5
PMSG,WINDINGS,Id_2fe,4.1432951973395475,0.7222222222222222,10.6,5
PMSG,WINDINGS,PId_2fe,4.2056138843028705,0.7222222222222222,10.6,5
PMSG,WINDINGS,Vq_2fe,22.397580687088812,0.8981481481481481,2.3000000000000007,5
SCIG,TURNS,V2_V1,4.170551192564298,0.7314814814814815,2.699999999999996,5
SCIG,TURNS,I2_I1,4.524813854137895,0.75,2.799999999999997,5
SCIG,TURNS,Id_2fe,6.681988120784283,0.7870370370370371,2.699999999999996,5
SCIG,TURNS,PId_2fe,6.685069382094998,0.7777777777777778,2.699999999999996,5
SCIG,TURNS,Vq_2fe,2.576625190690107,0.6018518518518519,7.399999999999999,5
SCIG,WINDINGS,V2_V1,48.19233280394347,1.0,2.3000000000000007,5
SCIG,WINDINGS,I2_I1,55.60793972445563,1.0,2.3000000000000007,5
SCIG,WINDINGS,Id_2fe,73.9714307758951,1.0,2.3000000000000007,5
SCIG,WINDINGS,PId_2fe,74.01292050093355,1.0,2.3000000000000007,5
SCIG,WINDINGS,Vq_2fe,24.799935495440153,0.9166666666666666,2.3000000000000007,5
PMSG,TURNS,V2_V1,3.2189829086448842,0.7314814814814815,2.800000000000012,8
PMSG,TURNS,I2_I1,1.5760801591728284,0.5833333333333334,7.399999999999999,8
PMSG,TURNS,Id_2fe,0.436941388015823,0.2777777777777778,11.599999999999994,8
PMSG,TURNS,PId_2fe,0.4343083393600282,0.2777777777777778,11.599999999999994,8
PMSG,TURNS,Vq_2fe,1.3250767071598712,0.6018518518518519,7.400000000000006,8
PMSG,WINDINGS,V2_V1,66.036852068673,0.9351851851851852,2.3000000000000007,8
PMSG,WINDINGS,I2_I1,12.133717309345476,0.8240740740740741,9.7,8
PMSG,WINDINGS,Id_2fe,3.4296176366264763,0.6944444444444444,10.6,8
PMSG,WINDINGS,PId_2fe,3.3933993714702275,0.7037037037037037,10.6,8
PMSG,WINDINGS,Vq_2fe,23.450108774627036,0.9074074074074074,2.3000000000000007,8
SCIG,TURNS,V2_V1,4.687611671254055,0.75,2.699999999999996,8
SCIG,TURNS,I2_I1,4.678147246187052,0.75,2.799999999999997,8
SCIG,TURNS,Id_2fe,7.603912035142029,0.8333333333333334,2.699999999999996,8
SCIG,TURNS,PId_2fe,7.627156032253808,0.8333333333333334,2.699999999999996,8
SCIG,TURNS,Vq_2fe,2.568411514579597,0.6203703703703703,7.399999999999999,8
SCIG,WINDINGS,V2_V1,51.278725356265554,1.0,2.3000000000000007,8
SCIG,WINDINGS,I2_I1,57.6889560931302,1.0,2.3000000000000007,8
SCIG,WINDINGS,Id_2fe,81.7007733826556,1.0,2.3000000000000007,8
SCIG,WINDINGS,PId_2fe,81.92671915962762,1.0,2.3000000000000007,8
SCIG,WINDINGS,Vq_2fe,23.954618826326083,0.8796296296296297,9.7,8
